"time","open","high","low","close","MA1","MA2","MA3"
1592269200,"1,13337","1,13398","1,13275","1,13284","1,13055565","1,1287665","1,13256875"
1592272800,"1,13284","1,13484","1,13282","1,13457","1,1306096","1,1293395","1,13295875"
1592276400,"1,13457","1,13478","1,13379","1,13396","1,13065845","1,1298165","1,133275"
1592280000,"1,13396","1,13397","1,13322","1,13327","1,13070825","1,1301475","1,1334"
1592283600,"1,13327","1,1347","1,13322","1,13361","1,13075885","1,1305815","1,13354"
1592287200,"1,13361","1,13472","1,13278","1,13463","1,13081585","1,1310815","1,13375125"
1592290800,"1,13463","1,13534","1,13208","1,13231","1,1308599","1,131408","1,13357"
1592294400,"1,13231","1,13472","1,1315","1,13364","1,13091705","1,131852","1,13360375"
1592298000,"1,13364","1,13412","1,13221","1,13337","1,13097385","1,132132","1,13367"
1592301600,"1,13337","1,13351","1,13104","1,13156","1,1310245","1,132341","1,13329375"
1592305200,"1,13156","1,13199","1,12948","1,13038","1,1310682","1,132512","1,13284625"
1592308800,"1,13038","1,13192","1,12949","1,13016","1,13111135","1,1325935","1,1324575"
1592312400,"1,13016","1,13031","1,12661","1,12701","1,1311391","1,132451","1,1316325"
1592316000,"1,12701","1,1275","1,12317","1,12374","1,13115185","1,1320655","1,13027125"
1592319600,"1,12374","1,12642","1,12278","1,12572","1,13117965","1,13178","1,1294475"
1592323200,"1,12572","1,12733","1,12546","1,12684","1,1312104","1,1315085","1,1285975"
1592326800,"1,12684","1,12689","1,12581","1,12629","1,13124215","1,1311985","1,1277125"
1592330400,"1,12629","1,12725","1,126","1,12724","1,13127595","1,1309135","1,1271725"
1592334000,"1,12724","1,12725","1,12567","1,12617","1,1312732","1,130534","1,12664625"
1592337600,"1,12617","1,12641","1,12573","1,12629","1,13128595","1,13018","1,1261625"
1592341200,"1,12629","1,12653","1,12537","1,12613","1,13128235","1,1298445","1,1260525"
1592344800,"1,12613","1,12621","1,12533","1,12592","1,1312402","1,129412","1,126325"
1592348400,"1,12592","1,12663","1,12591","1,12651","1,13121195","1,1290395","1,12642375"
1592352000,"1,12651","1,12734","1,12557","1,12676","1,13118125","1,128714","1,12641375"
1592355600,"1,12676","1,1273","1,12603","1,12653","1,13114175","1,12836","1,12644375"
1592359200,"1,12653","1,12683","1,12548","1,12645","1,1310998","1,127951","1,126345"
1592362800,"1,12645","1,12679","1,12616","1,12645","1,13106695","1,127658","1,12638"
1592366400,"1,12645","1,12731","1,12631","1,12713","1,1310337","1,1273325","1,126485"
1592370000,"1,12713","1,12799","1,12699","1,12735","1,13100285","1,1270315","1,1266375"
1592373600,"1,12735","1,12856","1,1272","1,12804","1,1309739","1,1268555","1,1269025"
1592377200,"1,12804","1,12939","1,1266","1,12667","1,1309395","1,12667","1,1269225"
1592380800,"1,12667","1,12755","1,12507","1,12575","1,130902","1,1264495","1,12679625"
1592384400,"1,12575","1,12602","1,12243","1,12294","1,1308522","1,126246","1,1263475"
1592388000,"1,12294","1,12489","1,1229","1,1242","1,1308072","1,126269","1,12606625"
1592391600,"1,1242","1,12548","1,12297","1,1231","1,13075315","1,126138","1,1256475"
1592395200,"1,1231","1,12447","1,12228","1,12369","1,1306983","1,1259805","1,1252175"
1592398800,"1,12369","1,12486","1,12142","1,12201","1,1306238","1,1257665","1,12455"
1592402400,"1,12201","1,12378","1,12071","1,12195","1,1305469","1,125502","1,12378875"
1592406000,"1,12195","1,12308","1,12092","1,12184","1,1304817","1,1252855","1,123185"
1592409600,"1,12184","1,12339","1,12157","1,12308","1,130431","1,125125","1,12285125"
1592413200,"1,12308","1,12401","1,12302","1,12368","1,13038175","1,1250025","1,12294375"
1592416800,"1,12368","1,12374","1,12295","1,12305","1,13033285","1,124859","1,1228"
1592420400,"1,12305","1,12398","1,12287","1,12389","1,1302845","1,124728","1,12289875"
1592424000,"1,12389","1,12461","1,1235","1,1243","1,13025825","1,124605","1,122975"
1592427600,"1,1243","1,1247","1,12407","1,12419","1,13023075","1,124488","1,1232475"
1592431200,"1,12419","1,12477","1,12412","1,12446","1,130197","1,1243885","1,12356125"
1592434800,"1,12446","1,12463","1,12378","1,12419","1,13017015","1,1242755","1,123855"
1592438400,"1,12419","1,12502","1,12386","1,12412","1,1301455","1,124125","1,123985"
1592442000,"1,12412","1,12498","1,12249","1,12353","1,1301175","1,123934","1,12396625"
1592445600,"1,12353","1,12406","1,12319","1,12394","1,1300903","1,123729","1,1240775"
1592449200,"1,12394","1,12517","1,12394","1,12494","1,1300692","1,1236425","1,12420875"
1592452800,"1,12494","1,12613","1,12445","1,12554","1,13005235","1,123632","1,12436375"
1592456400,"1,12554","1,12597","1,12476","1,12509","1,1300292","1,1237395","1,12447625"
1592460000,"1,12509","1,1259","1,12447","1,1254","1,1300053","1,1237995","1,12459375"
1592463600,"1,1254","1,12578","1,12401","1,12431","1,12996875","1,12386","1,12460875"
1592467200,"1,12431","1,12602","1,123","1,12492","1,1299445","1,1239215","1,12470875"
